Tên bài hát,Ngh? s? trình bày,S? l??ng ngh? s? ?óng góp, N?m phát hành," S? l??ng danh sách phát 
Spotify mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Spotify","S? l??t nghe tr?c
 tuy?n trên Spotify"," S? l??ng danh sách phát
 Apple Music mà bài hát tham gia","Th? h?ng trong b?ng 
x?p h?ng âm nh?c Apple Music",,,,
69,"Nicky Jam, Feid",2,2023,1134,22,57945987,39,14,,,,
Search & Rescue,Drake,1,2023,2066,6,175097833,58,70,,,,
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,896,0,57089066,34,2,,,,
Lavender Haze,Taylor Swift,1,2022,3763,8,488386797,51,43,,,,
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,197,0,32761689,3,10,,,,
Efecto,Bad Bunny,1,2022,4004,33,1047480053,34,65,,,,
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,984,5,153454328,8,57,,,,
Cupido,Tini,1,2023,1240,24,217672943,51,29,,,,
Just Wanna Rock,Lil Uzi Vert,1,2022,3995,13,457184829,72,27,,,,
Unstoppable,Sia,1,2016,7681,13,939844851,119,66,,,,
Until I Found You,Stephen Sanchez,1,2021,4427,4,726434358,69,100,,,,
Rich Flex,"Drake, 21 Savage",2,2022,4657,18,573633020,84,84,,,,
Easy On Me,Adele,1,2021,10195,20,1406111294,258,87,,,,
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,214,0,24975653,3,3,,,,
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,845,2,145458418,12,57,,,,
The Real Slim Shady,Eminem,1,2000,20763,27,1424589568,81,53,,,,
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,1267,20,231332117,41,22,,,,
The Color Violet,Tory Lanez,1,2021,2585,32,415932686,3,79,,,,
Glimpse of Us,Joji,1,2022,6330,6,988515741,109,42,,,,
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,675,1,50847624,9,13,,,,
Curtains,Ed Sheeran,1,2023,715,0,39893489,37,3,,,,
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,327,13,92035115,14,110,,,,
Haegeum,Agust D,1,2023,244,12,118810253,6,84,,,,
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,1020,35,206399629,15,26,,,,
Never Felt So Alone,Labrinth,1,2023,1730,3,117747907,46,5,,,,
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2127,33,266624541,45,80,,,,
ceilings,Lizzy McAlpine,1,2022,3242,9,293186992,67,55,,,,
Cupid,Fifty Fifty,1,2023,526,10,139681964,15,93,,,,
I AM,IVE,1,2023,366,15,123132751,16,102,,,,
Shorty Party,"Cartel De Santa, La Kelly",2,2023,432,12,162887075,8,14,,,,
Super,SEVENTEEN,1,2023,271,12,91221625,16,103,,,,
Slut Me Out,NLE Choppa,1,2022,816,4,190490915,21,4,,,,
Double Fantasy (with Future),"The Weeknd, Future",2,2023,1169,0,96180277,36,65,,,,
All Of The Girls You Loved Before,Taylor Swift,1,2019,1282,6,185240616,26,6,,,,
PROVENZA,Karol G,1,2022,6587,34,885093467,114,104,,,,
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,1444,4,104992946,0,0,,,,
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,356,10,147290338,4,64,,,,
Shivers,Ed Sheeran,1,2021,10147,30,1302184087,234,71,,,,
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,265,6,158950978,8,84,,,,
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,351,9,76910644,16,90,,,,
Komang,Raim Laode,1,2022,158,4,137123880,5,6,,,,
DESPECHï¿,ROSALï¿½,1,2022,7613,33,782369383,180,90,,,,
Made You Look,Meghan Trainor,1,2022,3956,6,502574952,142,23,,,,
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,1638,10,207033255,0,0,,,,
No Se Va,Grupo Frontera,1,2022,924,18,404887295,17,80,,,,
Punto G,Quevedo,1,2022,1985,35,381161027,34,26,,,,
Lovers Rock,TV Girl,1,2014,6339,13,466231982,3,1,,,,
METAMORPHOSIS,INTERWORLD,1,2021,1561,24,357580552,18,78,,,,
Mami Chula,"Quevedo, Jhayco",2,2023,875,4,61105704,17,13,,,,
En Paris,"El Chachito, Junior H",2,2022,406,5,198275403,3,31,,,,
Set Me Free Pt.2,Jimin,1,2023,340,13,168448603,4,71,,,,
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,4188,15,705469769,30,70,,,,
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,105,0,34502215,5,9,,,,
Shut Down,BLACKPINK,1,2022,1524,17,482175240,53,120,,,,
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,2651,30,304118600,21,55,,,,
Call Out My Name,The Weeknd,1,2018,11087,6,1449799467,151,107,,,,
Like Crazy (English Version),Jimin,1,2023,373,19,173627354,4,72,,,,
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,200,4,90025258,8,77,,,,
Sunroof,"Nicky Youre, Dazy",2,2021,3741,17,652704649,156,35,,,,
Lose Yourself - Soundtrack Version,Eminem,1,2002,32502,21,1829992958,247,54,,,,
Superman,"Eminem, Dina Rae",2,2002,7615,14,655466831,18,51,,,,
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,1208,34,146409671,10,41,,,,
People Pt.2 (feat. IU),"IU, Agust D",2,2023,209,4,95816024,4,45,,,,
REMIX EXCLUSIVO,Feid,1,2023,1235,9,117206995,20,8,,,,
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,654,3,100409613,11,3,,,,
DOGTOOTH,"Tyler, The Creator",2,2023,1479,0,80758350,23,0,,,,
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,4942,26,325592432,190,104,,,,
SORRY NOT SORRY,"Tyler, The Creator",2,2023,709,0,58473276,8,1,,,,
HAPPY,NF,1,2023,660,0,52722996,22,7,,,,
La Bebe,Yng Lvcas,1,2021,489,17,191945597,4,11,,,,
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,407,0,77377503,16,15,,,,
Late Night Talking,Harry Styles,1,2022,7461,8,743693613,166,42,,,,
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,9161,5,1221813483,240,98,,,,
Something in the Orange,Zach Bryan,1,2022,3282,12,449701773,67,84,,,,
VOID,Melanie Martinez,1,2023,596,0,67070410,29,9,,,,
